date,1 (low bm),2,3,4,5,6,7,8,9,10 (high bm)
20060731,0.017657,0.008593,0.028442,-0.001096,0.048623,0.04949,-0.017665,0.000938,-0.008467,-0.006926
20060831,-0.000457,0.051874,-0.059895,0.064561,0.023871,-0.044573,0.04881,0.076841,0.042164,0.053298
20060930,0.005986,-0.032629,-0.090925,0.023242,0.05073,-0.092863,0.023228,0.070553,0.013018,-0.011587
20061031,0.114205,0.053575,0.073472,0.05829,0.173314,0.03642,0.075882,0.066054,0.06071,0.037202
20061130,0.05373,-0.002914,0.034039,0.051728,0.032037,0.012548,0.010418,0.017941,0.026778,0.018658
20061231,0.05739,0.038118,-0.02606,0.057174,0.089184,0.230002,0.043657,0.060441,0.063372,0.02976
20070131,0.078242,0.001063,0.048018,0.032916,0.038396,0.076482,0.030875,0.074939,0.063897,0.009209
20070228,-0.051292,0.065072,-0.07211,-0.051162,-0.052838,0.020388,-0.071431,-0.003778,-0.049031,-0.00251
20070331,0.082516,0.084158,-0.005341,0.047701,0.070125,0.054836,0.037057,0.061838,0.006236,0.017203
20070430,0.104469,0.008835,0.03193,0.02192,0.031685,0.014133,0.044616,0.072317,0.057623,-0.002364
20070531,0.060778,0.052302,0.085115,0.011334,0.063073,0.037313,-0.025246,0.065529,0.023092,0.007704
20070630,0.086893,-0.00223,0.005953,0.089886,0.057097,0.036028,-0.035339,0.036555,-0.026056,-0.043718
20070731,0.025488,-0.029039,-0.048099,-0.052903,-0.022629,0.039269,0.0142,-0.016589,-0.003716,0.016841
20070831,-0.039767,0.00093,-0.011444,-0.034706,-0.043461,-0.059215,0.014223,-0.082342,-0.090435,-0.005511
20070930,0.103316,0.026078,0.022267,0.088645,0.071969,-0.014602,0.004082,0.003103,-0.072921,-0.03868
20071031,0.067663,0.068474,0.128824,0.011265,0.035367,-0.053799,0.073192,0.045903,0.028761,0.051382
20071130,-0.060251,-0.064541,0.003186,-0.013191,-0.030177,-0.074739,-0.0257,-0.014899,-0.081214,-0.102967
