date,1 (small size),2,3,4,5,6,7,8,9,10 (large size)
19931130,-0.016817,0.020381,-0.051715,-0.11819,0.017994,-0.040701,-0.085273,0.070601,-0.016887,-0.060537
19931231,-0.021422,0.004552,-0.006203,0.034297,0.038963,0.068141,0.037294,0.142719,0.086294,0.066654
19940131,0.152247,0.123924,0.192816,0.09468,0.237466,0.082398,0.098594,0.097411,0.155765,0.140723
19940228,0.030894,0.026802,0.031377,0.022134,-0.028707,-0.013131,0.004519,-0.018078,-0.018371,0.01872
19940331,0.028069,-0.009301,0.020084,-0.015116,-0.020865,-0.016599,-0.026988,-0.046555,-0.069337,-0.098324
19940430,0.017299,-0.014743,-0.026683,-0.023777,0.071411,0.011475,-0.017064,-0.023822,0.040304,0.011728
19940531,-0.012706,0.007912,0.009123,-0.009333,-0.004937,-0.031648,0.001136,0.034844,-0.046878,0.006508
19940630,-0.053295,-0.024782,-0.04713,0.024217,-0.024127,-0.060349,-0.035731,-0.060734,-0.032983,-0.062794
19940731,0.016207,-0.000811,0.020328,0.035714,0.076311,0.003084,0.027112,0.087779,0.038588,0.113884
19940831,0.073121,-0.027278,0.005121,0.042956,-0.026506,-0.014315,-0.013836,-0.007158,-0.002765,0.004385
19940930,-0.013251,-0.018337,-0.02335,-0.056353,-0.074575,-0.064271,-0.079794,-0.046046,-0.064019,-0.080198
19941031,0.015653,-0.016532,-0.034118,0.002703,0.050007,0.011458,-0.006978,0.031473,0.021584,0.037025
19941130,-0.018926,0.008868,0.040732,0.080134,9.9e-05,0.027295,0.074744,-0.02059,-0.000744,0.032335
19941231,0.020986,0.04463,0.012156,0.056487,0.015233,0.040883,0.049,0.035418,0.094323,0.0554
19950131,0.146531,0.008106,0.009272,-0.020992,0.03016,0.007778,-0.00528,-0.038953,0.031765,-0.009895
19950228,0.06158,0.036553,0.020127,0.020314,0.021607,-0.00489,0.010536,0.01137,-0.015287,-0.055375
19950331,0.048464,-0.028734,-0.038672,-0.026412,-0.018437,0.032968,-0.020325,-0.034169,-0.058886,-0.050057
19950430,0.100307,0.065384,0.067457,0.047126,0.058501,0.071529,0.081981,0.059525,0.093383,0.097335
19950531,0.065154,0.086974,0.036597,0.067069,0.062768,0.024544,0.041372,0.109224,0.025904,0.013203
19950630,-0.024002,0.166479,0.071949,0.012202,0.02814,0.003513,0.038445,0.062028,0.044379,0.026566
19950731,0.153431,0.04866,0.025239,0.032512,0.057993,0.041477,0.015133,0.033206,-0.007507,0.038309
19950831,0.40667,0.143394,0.016768,0.043789,0.194245,0.025967,0.041463,0.045315,-0.001421,-0.003149
19950930,-0.002246,0.053954,0.046045,0.027725,0.051013,0.100402,-0.007795,0.012012,0.021812,0.008598
19951031,0.037054,0.060001,-0.048167,-0.008947,-0.003521,-0.036948,-0.020244,-0.062253,-0.072498,-0.027656
19951130,0.017666,0.032838,0.058149,0.017827,0.08125,-0.00217,0.04338,0.030893,0.085902,0.0017
19951231,0.078886,0.121166,0.040415,0.00628,0.073522,0.029862,0.005687,0.026976,0.027705,0.013704
19960131,-0.001167,0.100046,0.039224,0.056846,0.085747,0.058863,0.065753,0.056467,-0.002387,0.016531
19960229,-0.003924,0.370902,0.052975,0.077324,0.072659,0.012837,0.02947,-0.005434,0.09633,0.007149
19960331,0.366507,-0.060749,0.002433,0.00127,0.033516,-0.010844,-0.014194,-0.017305,0.015845,0.008858
19960430,0.060978,0.008828,0.009513,0.111454,0.026875,0.030345,0.041411,0.06866,0.101108,0.086928
19960531,-0.000194,0.090887,0.02406,0.01111,0.055999,0.055956,0.019464,0.001226,-0.001109,0.025131
19960630,0.039646,-0.023211,0.008127,0.006706,0.020785,0.015198,-0.00116,0.004015,-0.001949,0.024384
19960731,0.038714,-0.007961,0.014389,-0.001583,-0.002642,-0.017439,-0.012292,0.002869,-0.005732,-0.062727
19960831,0.004188,0.048454,0.065479,0.057702,0.040063,0.054677,0.021063,-0.035393,0.024623,0.049072
19960930,0.094627,-0.031309,-0.008439,0.031891,0.031721,0.021242,0.011552,-0.012436,0.013865,0.032561
19961031,0.068813,0.020353,0.056563,0.09869,0.07028,0.04265,0.01488,0.057153,0.034328,0.017017
19961130,0.045601,0.130221,0.078847,0.10261,0.132938,0.123707,0.12971,0.066235,0.093865,0.075279
19961231,0.066808,0.011504,0.055349,0.065797,0.012001,0.020097,0.036113,0.048854,0.034549,0.050973
19970131,0.146993,0.211847,0.142505,0.142475,0.109071,0.189352,0.12546,0.166568,0.100975,0.08225
19970228,0.061656,0.02358,-0.006047,0.0085,0.043671,-0.004977,0.021416,-0.018087,-0.000306,-0.006548
19970331,0.031996,-0.011338,-0.005043,0.044637,0.021063,0.031171,0.095245,0.00543,0.017498,0.001863
19970430,0.047081,0.029053,-0.038435,-0.058944,-0.002369,-0.011489,-0.049267,0.014857,0.01501,0.046423
19970531,0.113343,0.080764,0.080842,-0.00675,0.049006,0.09736,0.070204,0.044982,0.058155,0.061878
19970630,0.029754,-0.027295,0.00295,0.038756,0.027678,0.034566,0.036423,0.043443,0.02915,0.056181
19970731,0.073833,0.104639,0.090674,0.105819,0.097502,0.12768,0.093957,0.105275,0.077595,0.080466
19970831,0.020734,-0.033186,0.034324,-0.025665,0.061255,0.004492,-0.019826,0.058617,-0.011457,0.009803
19970930,-0.016961,0.070764,0.049477,0.090863,0.054752,0.08149,0.017531,0.069307,0.045884,0.037847
19971031,-0.006072,-0.02017,-0.01064,0.088229,0.063159,-0.004125,0.004331,0.072514,-0.026068,-0.002589
19971130,0.091482,-0.009786,-0.047245,-0.053516,0.005179,-0.053831,-0.028428,-0.048644,-0.04597,-0.050074
19971231,0.011186,0.001356,-0.025775,-0.009252,0.040837,0.036512,-0.002895,0.026173,0.001921,0.007556
19980131,-0.005574,-0.012732,-0.025226,0.00899,-0.004606,-0.035933,0.012075,-0.071469,-0.023679,-0.024426
19980228,0.024105,0.025084,0.045883,0.023734,0.032756,0.021324,0.006247,0.039313,0.015257,0.030798
19980331,0.078379,0.011697,0.102843,0.085114,0.052785,0.052039,0.115216,0.064907,0.097056,0.129031
19980430,0.033936,0.068139,0.051214,0.091743,0.113659,0.077715,0.018084,0.062184,0.059077,0.018183
19980531,-0.022286,-0.00399,0.011343,0.012725,-0.010259,-0.054343,-0.015681,0.013631,-0.073399,-0.056471
19980630,-0.014504,-0.027682,-0.064505,-0.038989,-0.042318,-0.054565,-0.026286,-0.11361,-0.016861,0.000994
19980731,0.004666,0.02657,0.011381,-0.028407,0.019734,-0.020699,-0.0021,-0.004475,0.06755,-0.033913
19980831,-0.111215,-0.120802,-0.172659,-0.172547,-0.143708,-0.156897,-0.234104,-0.184283,-0.184223,-0.221251
19980930,-0.03794,-0.079123,0.095769,-0.098149,-0.071097,-0.066832,-0.063646,-0.087043,-0.131962,-0.048059
19981031,0.05483,-0.026448,-0.044414,0.012945,0.018226,0.014897,0.097296,0.133669,0.136083,0.141348
19981130,0.00761,0.067186,0.044547,-0.009052,-0.018435,0.049642,0.09491,0.012602,-0.027781,-0.058226
19981231,-0.001601,-0.066635,-0.068092,-0.090645,-0.074078,-0.069924,-0.0715,-0.02997,0.05409,0.008921
19990131,0.037392,0.129493,0.160899,0.156861,0.174428,0.241998,0.201962,0.12548,0.101985,0.081527
19990228,0.020463,-0.024929,0.032919,0.031756,0.056948,-0.01587,-0.036857,-0.017428,-0.067951,-0.034599
19990331,0.061153,0.077461,0.046488,0.13836,0.079475,0.063848,0.095433,0.054869,0.072586,0.112347
19990430,0.070313,0.100821,0.081903,0.06555,0.127958,0.143085,0.094839,0.164286,0.138513,0.057876
19990531,-0.022727,0.064221,0.06618,0.151358,0.181095,0.009089,0.028587,0.553846,0.017856,-0.014586
19990630,0.058925,0.059747,0.03096,0.162086,0.014387,-0.01285,0.030134,0.011848,0.040819,0.000529
19990731,-0.005557,0.023947,0.037119,0.026649,0.010134,0.053206,0.029402,0.064739,0.011994,0.032016
19990831,8.8e-05,0.052539,0.006776,0.047353,0.048745,0.082338,0.018653,0.021087,0.015372,0.035381
19990930,0.026366,-0.021596,0.000621,0.029654,0.034136,-0.0343,-0.0236,-0.049111,-0.05426,-0.003469
19991031,0.007361,-0.031464,-0.016272,0.016618,-0.017521,0.07731,-0.021965,-0.015043,-0.053979,0.022329
19991130,0.111397,0.04301,0.143139,0.126907,0.155124,0.073331,0.055953,0.108539,0.037564,0.058585
19991231,0.009974,0.081615,0.333938,0.146608,0.185883,0.075309,0.148395,0.062742,0.184496,0.049369
